"Država","Valuta","Nakupni tečaj","Prodajni tečaj"
"ZDA","USD",1.1913,1.1633
"Velika Britanija","GBP",0.9045,0.8785
"Švica","CHF",1.0965,1.0605
"Hrvaška","HRK",7.664,7.454
"Madžarska","HUF",359.65,350.85
"Srbija","RSD",119.43,115.63
"Bosna in Hercegovina","BAM",1.998,1.917
"Republika Severna Makedonija","MKD",62.11,60.29
"Rusija","RUB",93.54,88.14
"Češka","CZK",26.94,25.94
"Poljska","PLN",4.557,4.409
"Bolgarija","BGN",1.979,1.925
"Norveška","NOK",10.895,10.555
"Švedska","SEK",10.346,10.026
"Danska","DKK",7.5575,7.3335
"Avstralija","AUD",1.6405,1.5965
"Kanada","CAD",1.5635,1.5155
"Japonska","JPY",125.8,122.0
